id,schema,userId,routeId,timestamp,nClicks,appType
69bd7cfdb6ffbf97beccf2f9,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f5010,2026-03-20T16:59:37.455000+00:00,3,Kotlin
69bd7d21b6ffbf97beccf301,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f5012,2026-03-20T17:00:13.221000+00:00,3,Kotlin
69bd7d80b6ffbf97beccf31e,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5021,2026-03-20T17:01:47.852000+00:00,1,Kotlin
69bd7e33b6ffbf97beccf346,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5021,2026-03-20T17:04:47.235000+00:00,1,Kotlin
69bd7e71b6ffbf97beccf34f,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:05:49.660000+00:00,1,Kotlin
69bd8478b6ffbf97beccf373,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f500c,2026-03-20T17:31:31.825000+00:00,3,Kotlin
69bd84b3b6ffbf97beccf382,1,69bd7c47b6ffbf97beccf2cb,69bc9f4857adce41b32f501e,2026-03-20T17:32:31.026000+00:00,1,Kotlin
69bd84b6b6ffbf97beccf384,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f501f,2026-03-20T17:32:33.776000+00:00,1,Kotlin
69bd85d5b6ffbf97beccf399,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f5012,2026-03-20T17:37:21.210000+00:00,3,Kotlin
69bd85ddb6ffbf97beccf39d,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:37:29.322000+00:00,1,Kotlin
69bd87afe24dd546cd80ffc8,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:45:14.970000+00:00,1,Kotlin
69bd87b8e24dd546cd80ffd0,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:45:24.413000+00:00,1,Kotlin
69bd87d0e24dd546cd80ffdb,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5021,2026-03-20T17:45:48.092000+00:00,1,Kotlin
69bd87d8e24dd546cd80ffe0,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5021,2026-03-20T17:45:56.339000+00:00,1,Kotlin
