id,schema,userId,featureId,startTime,endTime,totalTime,downloadSpeed,uploadSpeed,appType
69bcb1ff094700f7b22a8a66,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T02:33:35.260000+00:00,2026-03-20T02:33:35.567000+00:00,0,30000,5792,Kotlin
69bcb1ff094700f7b22a8a67,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:33:35.257000+00:00,2026-03-20T02:33:35.692000+00:00,0,30000,5792,Kotlin
69bcb1ff094700f7b22a8a68,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T02:33:35.723000+00:00,2026-03-20T02:33:36.009000+00:00,0,30000,5792,Kotlin
69bcb2054996b66f636cfddc,1,69b9e0da4ef470521b8998b7,69bc9f4457adce41b32f5001,2026-03-20T02:33:38.935000+00:00,2026-03-20T02:33:39.132000+00:00,0,23606,12701,Kotlin
69bcb20e4996b66f636cfddd,1,69b9e0da4ef470521b8998b7,69bc9f4357adce41b32f4ffc,2026-03-20T02:33:47.712000+00:00,2026-03-20T02:33:48.331000+00:00,0,23290,18713,Kotlin
69bcb2114996b66f636cfddf,1,69b9e0da4ef470521b8998b7,69bc9f4457adce41b32f4ffd,2026-03-20T02:33:50.591000+00:00,2026-03-20T02:33:50.923000+00:00,0,23290,18713,Kotlin
69bcb2114996b66f636cfde0,1,69b9e0da4ef470521b8998b7,69bc9f4457adce41b32f5001,2026-03-20T02:33:50.599000+00:00,2026-03-20T02:33:50.924000+00:00,0,23290,18713,Kotlin
69bcb2124996b66f636cfde1,1,69b9e0da4ef470521b8998b7,69bc9f4457adce41b32f5001,2026-03-20T02:33:51.320000+00:00,2026-03-20T02:33:51.518000+00:00,0,23290,18713,Kotlin
69bcb3e32f4b2f6cf9d8835f,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:41:22.274000+00:00,2026-03-20T02:41:33.820000+00:00,11,3779,855,Kotlin
69bcb3e32f4b2f6cf9d88360,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:41:22.378000+00:00,2026-03-20T02:41:33.739000+00:00,11,3779,855,Kotlin
69bcb3e52f4b2f6cf9d88362,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:41:37.197000+00:00,2026-03-20T02:41:38.751000+00:00,1,3779,855,Kotlin
69bcb3fc2f4b2f6cf9d88364,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:42:00.720000+00:00,2026-03-20T02:42:01.271000+00:00,0,3779,855,Kotlin
69bcb4282f4b2f6cf9d88366,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:42:32.319000+00:00,2026-03-20T02:42:46.084000+00:00,13,3782,854,Kotlin
69bcb4982f4b2f6cf9d88367,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:44:22.721000+00:00,2026-03-20T02:44:35.730000+00:00,13,3015,914,Kotlin
69bcb4a92f4b2f6cf9d8836d,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T02:44:49.935000+00:00,2026-03-20T02:44:53.647000+00:00,3,2533,882,Kotlin
69bcb4a92f4b2f6cf9d8836e,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:44:42.455000+00:00,2026-03-20T02:44:53.653000+00:00,11,1896,844,Kotlin
69bcb4aa2f4b2f6cf9d8836f,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f5001,2026-03-20T02:44:50.660000+00:00,2026-03-20T02:44:54.069000+00:00,3,2949,908,Kotlin
69bcb4aa2f4b2f6cf9d88370,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:44:46.065000+00:00,2026-03-20T02:44:54.314000+00:00,8,2533,882,Kotlin
